Math,Programming,Physics_BE,Engineering_Drawing,English
61,89,81,77,72
80,95,83,59,82
92,81,79,62,82
78,86,81,71,90
77,95,64,64,83
70,84,84,71,57
77,86,77,75,82
82,91,59,59,85
94,73,76,62,77
75,79,81,75,73
93,99,81,69,80
87,86,92,89,88
87,93,69,72,84
75,84,64,77,72
89,95,59,63,88
74,99,65,72,72
78,74,55,74,79
79,86,73,69,60
85,94,81,72,59
73,85,69,68,83
99,91,75,66,78
68,86,78,59,87
78,76,77,63,68
71,89,74,72,79
89,93,57,70,89
76,76,78,58,83
94,73,72,73,79
83,100,75,71,80
72,91,89,62,80
94,88,81,66,71
70,85,71,67,72
83,83,77,62,85
78,93,73,69,79
88,90,75,73,77
78,79,64,72,73
73,79,73,75,66
81,95,68,77,90
84,92,80,63,77
88,87,76,67,82
69,92,71,71,80
73,92,65,71,71
76,85,58,74,85
72,90,62,72,88
83,95,68,68,82
76,75,68,87,78
82,84,73,68,83
81,100,62,54,83
81,100,69,66,85
73,92,70,68,75
75,81,64,79,88
71,94,77,68,80
79,81,86,70,97
86,87,73,70,73
80,82,86,74,79
63,92,77,79,79
94,95,77,81,65
70,85,92,68,68
77,83,76,73,76
90,68,80,66,84
89,87,74,71,85
83,93,82,84,74
75,85,68,65,78
90,90,87,68,76
98,88,60,69,88
77,90,81,74,68
82,100,69,59,86
81,82,66,53,69
81,100,85,71,72
93,90,69,61,78
88,91,86,66,78
90,80,98,75,76
77,77,78,61,70
82,92,74,68,73
85,90,81,81,86
84,93,76,73,73
93,75,62,82,81
80,89,79,67,71
80,71,56,71,73
74,76,76,60,80
86,100,67,70,76
79,96,66,74,91
87,85,90,78,72
88,80,83,75,84
87,82,75,57,80
80,97,64,63,81
82,70,82,73,86
79,93,83,69,80
85,91,59,64,78
84,86,73,92,85
79,91,62,63,61
67,82,78,65,81
74,74,72,69,77
76,100,82,66,78
96,79,63,84,80
79,80,71,69,84
79,90,71,67,74
81,92,63,62,81
90,92,69,67,84
70,85,81,66,76
74,94,63,64,73
