Math,Programming,Physics_BE,Engineering_Drawing,English
69,81,70,90,70
91,54,80,73,68
60,76,78,75,85
64,59,85,57,67
70,72,75,65,76
78,68,88,65,70
65,59,79,72,79
70,61,86,65,77
74,62,70,72,76
85,74,84,74,70
76,74,79,67,80
68,86,70,82,73
82,70,70,74,81
53,76,80,82,73
75,58,64,66,67
80,62,72,77,74
78,46,67,69,70
84,74,74,64,76
64,66,83,83,96
71,64,78,70,75
65,76,70,81,72
85,90,64,71,81
78,63,83,66,62
57,72,73,70,81
76,89,82,73,76
77,61,69,77,80
75,58,74,80,71
67,70,71,65,75
87,68,79,66,76
70,71,65,81,73
76,74,92,68,66
76,68,68,74,78
72,67,68,80,66
80,68,81,90,80
73,74,90,58,75
74,74,72,83,81
68,71,70,63,95
76,72,77,67,75
67,66,89,75,72
73,77,71,84,78
78,63,84,82,60
75,64,79,75,73
87,58,97,73,75
75,64,74,63,56
59,72,90,74,77
77,67,79,57,81
66,78,77,69,58
60,69,68,69,81
82,71,83,69,74
77,66,73,62,72
90,67,77,89,82
86,74,77,74,86
63,88,70,77,60
78,61,89,75,74
85,63,71,67,64
81,84,72,75,59
75,78,82,71,64
82,73,87,71,67
67,77,77,65,79
72,71,85,74,59
68,56,62,77,99
61,70,73,77,76
63,86,72,71,64
86,63,68,56,76
87,57,76,69,77
71,74,90,79,68
67,63,68,78,72
69,61,88,76,64
79,76,73,74,66
74,63,81,69,68
66,59,80,76,82
84,59,75,75,85
62,78,76,67,65
65,58,65,70,76
86,63,66,56,77
63,71,96,59,67
78,66,79,67,71
96,72,88,69,69
79,78,64,78,83
70,60,68,68,62
71,65,66,76,84
77,83,84,79,72
78,67,69,83,66
75,72,75,84,71
78,63,79,79,64
70,84,74,78,85
74,78,66,73,71
66,73,74,83,73
83,73,76,72,68
72,64,86,64,85
86,74,84,74,82
84,67,90,69,85
89,71,57,82,81
68,54,73,65,72
67,71,92,56,76
80,79,79,80,69
59,84,90,58,72
81,65,90,64,66
84,74,68,67,60
96,76,79,75,84
