Math,Programming,Physics_BE,Engineering_Drawing,English
68,66,81,97,75
78,75,71,95,74
75,77,76,99,74
73,52,63,81,72
84,57,74,90,70
71,60,62,90,77
68,50,63,84,68
66,70,55,99,72
62,61,67,89,69
80,67,63,85,59
66,69,81,100,69
65,53,69,98,84
72,58,73,94,68
62,49,84,77,65
71,68,70,78,68
70,64,82,79,71
76,75,68,92,69
64,54,75,82,69
60,56,71,86,58
67,58,79,79,75
74,72,64,95,87
75,58,62,83,72
67,61,73,83,85
67,66,76,92,61
74,73,71,89,63
77,59,67,83,58
68,75,69,96,72
61,70,65,92,62
77,67,56,94,68
67,46,63,90,69
78,54,79,78,78
65,65,57,78,66
63,72,66,81,78
75,63,72,98,81
80,69,76,84,66
78,65,89,80,66
76,71,69,86,74
61,75,64,74,74
46,55,70,88,70
74,64,80,88,75
78,72,77,90,73
82,75,64,86,54
84,51,71,82,61
75,68,72,69,85
72,52,71,98,76
67,63,73,83,65
75,65,80,72,87
71,59,71,80,70
68,65,74,80,70
66,72,76,89,59
69,57,73,80,85
76,63,66,84,69
72,66,66,89,75
72,53,78,81,73
66,55,45,87,74
81,70,81,83,59
79,68,67,85,63
69,69,70,85,71
68,46,75,95,66
66,71,76,93,68
76,64,77,81,78
80,60,67,91,86
80,58,72,94,71
73,50,79,77,63
68,56,68,71,78
79,86,71,92,65
75,69,60,90,76
67,70,85,88,71
79,58,84,100,74
69,65,55,79,97
77,50,69,92,72
75,58,76,75,75
65,71,75,100,81
65,59,78,100,64
68,61,72,85,65
76,57,80,88,75
67,63,50,86,76
59,66,59,77,79
72,62,75,82,75
73,62,61,91,71
77,44,70,85,55
73,59,68,86,77
81,68,61,79,93
73,67,72,82,92
88,57,82,89,68
80,64,73,93,59
63,50,63,76,78
67,78,74,85,78
62,55,60,85,73
56,57,64,88,64
78,61,81,89,92
70,65,65,83,71
71,69,86,80,75
69,61,68,78,72
77,59,58,78,72
78,60,73,83,65
78,67,84,80,83
70,67,69,87,76
82,61,74,78,80
52,77,75,70,67
