Math,Programming,Physics_BE,Engineering_Drawing,English
69,91,67,64,67
87,88,63,66,74
73,93,68,79,62
82,91,72,65,72
81,78,65,75,73
80,85,83,61,67
71,76,68,68,72
73,97,55,73,64
76,83,72,55,67
67,85,65,74,57
80,89,78,67,72
67,79,61,74,71
72,78,62,68,77
84,81,74,64,73
80,87,53,65,81
72,90,71,60,79
70,86,69,65,65
87,100,79,73,60
91,88,65,65,80
87,94,79,73,57
84,69,62,83,83
82,80,73,52,80
74,85,73,76,71
93,87,71,63,79
77,84,62,71,66
73,85,65,85,73
75,86,68,85,76
82,95,73,60,86
89,71,78,70,68
91,95,66,76,71
82,98,69,79,64
81,96,67,62,70
78,80,76,59,87
73,85,66,62,80
73,86,68,86,59
76,81,83,68,63
67,72,81,60,93
74,86,67,62,71
79,77,66,73,69
88,76,74,70,87
70,96,89,72,73
76,79,81,76,81
88,78,82,81,80
65,83,61,83,80
78,82,66,78,93
73,89,82,69,68
78,100,76,72,77
66,94,71,70,72
76,78,75,61,60
80,79,83,59,76
89,94,71,69,80
74,89,73,60,83
75,80,71,73,86
78,93,73,71,85
74,84,79,63,97
74,95,71,68,85
74,93,61,78,80
66,81,76,65,87
86,95,54,72,81
86,89,69,63,59
71,97,53,54,74
74,98,70,81,68
74,79,75,70,70
86,82,69,82,80
70,93,71,63,74
74,82,82,59,75
76,80,71,69,83
89,80,82,71,80
80,94,79,70,81
62,82,77,58,78
71,90,81,72,72
82,81,66,81,73
82,79,61,68,76
78,88,76,60,79
80,87,57,66,60
88,91,77,65,66
85,90,76,75,80
68,72,81,77,82
92,71,78,75,74
71,82,74,72,75
75,93,81,70,75
84,93,72,80,89
90,73,59,75,88
80,92,80,65,91
93,84,71,63,65
67,96,79,69,75
78,86,77,62,63
83,89,70,87,68
73,88,77,70,54
71,84,74,48,85
82,79,70,85,73
81,75,66,79,76
82,74,85,59,69
69,90,66,69,78
79,93,80,70,79
83,93,61,47,56
72,86,76,59,67
74,78,66,58,77
86,96,78,65,70
76,81,72,87,70
