Math,Programming,Physics_BE,Engineering_Drawing,English
65,78,86,73,83
81,79,87,82,79
71,87,79,66,62
73,82,100,68,67
75,83,71,63,61
77,65,91,71,73
71,84,71,70,75
68,83,86,71,52
72,75,75,73,79
74,77,82,72,75
72,87,97,65,74
63,70,78,78,64
82,85,80,86,70
71,76,82,70,80
83,80,80,64,83
73,82,87,83,82
71,80,100,50,79
80,63,80,60,73
63,73,68,61,79
76,69,90,78,80
84,85,81,59,78
64,76,88,60,76
80,71,73,60,89
73,71,98,67,74
72,78,78,63,71
61,81,83,77,68
78,85,73,57,55
81,85,81,67,65
79,74,93,67,85
75,84,99,74,83
79,80,82,77,73
74,76,87,60,79
94,79,69,80,72
85,78,93,62,82
83,71,78,62,73
78,68,96,76,80
75,78,82,72,58
71,76,99,56,72
89,79,85,66,81
72,86,78,75,76
70,77,67,74,75
82,76,69,70,74
77,68,91,69,74
68,68,87,69,72
64,93,79,77,78
78,88,74,71,76
74,78,82,67,60
70,86,91,68,77
68,74,89,69,55
70,83,83,69,73
78,82,86,79,76
69,80,76,70,87
74,84,90,66,74
82,77,96,69,62
81,85,93,75,62
74,84,91,77,68
78,85,80,83,80
62,70,83,66,77
79,84,88,80,71
72,57,75,68,84
71,78,81,71,76
77,93,77,61,77
70,73,74,71,80
59,78,82,65,78
74,75,92,76,63
70,80,98,73,72
76,89,73,72,69
82,88,100,67,67
81,91,94,62,67
75,93,82,73,71
65,82,82,64,81
87,83,84,71,78
70,68,89,76,73
70,79,89,65,74
78,66,91,78,79
77,75,90,57,65
73,89,75,63,92
79,77,74,66,82
68,93,84,70,76
74,89,89,82,78
77,75,88,67,74
73,75,77,75,61
82,74,85,71,78
91,83,88,74,80
82,83,94,71,76
80,81,92,65,77
74,70,83,89,61
71,80,93,77,59
76,89,80,80,65
71,80,88,75,75
68,82,80,73,88
72,92,100,64,80
74,87,89,71,71
72,81,96,68,85
72,80,78,82,86
80,73,100,65,72
76,77,83,81,63
62,83,70,65,66
69,82,84,68,64
70,94,87,60,66
