Math,Programming,Physics_BE,Engineering_Drawing,English
66,69,87,79,77
64,76,89,72,70
79,80,89,71,65
90,84,91,79,76
81,64,71,70,65
63,87,74,78,85
94,70,93,71,72
75,77,84,65,74
78,67,78,62,71
86,82,100,64,66
70,76,85,71,66
81,75,90,80,80
87,70,82,71,71
75,74,81,64,77
73,73,74,83,76
68,76,77,70,67
58,45,81,79,69
68,65,92,82,71
58,83,84,69,67
72,65,68,83,69
73,86,100,72,84
63,78,83,75,70
58,58,88,65,54
74,67,91,66,77
76,56,95,62,68
75,73,82,65,75
91,65,84,89,84
73,81,80,82,64
61,71,82,67,79
83,68,83,68,97
70,67,77,65,68
74,76,100,61,66
73,69,90,78,70
68,67,71,71,75
88,82,69,60,63
69,71,76,90,74
73,83,79,72,64
60,69,85,60,66
65,73,90,78,79
73,64,93,76,75
70,63,89,76,68
68,77,89,74,66
73,81,82,64,60
66,80,98,67,73
62,78,82,64,80
77,76,90,60,69
69,85,80,76,78
78,86,79,78,74
62,70,82,77,80
67,70,80,71,78
71,70,68,73,63
83,85,92,80,75
81,77,96,73,55
58,66,89,70,70
80,65,85,90,68
70,59,93,73,75
65,82,83,58,67
84,76,71,83,76
73,67,88,77,83
64,63,91,70,57
68,68,84,78,83
68,80,95,73,77
66,72,85,72,63
65,59,76,66,83
67,65,86,68,66
78,64,100,78,65
79,85,80,78,91
73,81,72,63,64
74,76,63,72,78
83,73,94,59,69
73,64,76,64,74
69,65,100,60,76
59,90,77,75,79
65,77,91,60,69
77,68,89,57,75
77,71,100,74,87
62,77,89,70,73
63,60,82,73,77
61,78,89,68,70
59,74,84,76,63
75,68,88,83,66
77,70,77,57,77
68,61,93,75,70
78,59,76,74,69
69,70,78,76,70
65,63,86,73,69
85,69,73,76,66
75,70,90,76,84
66,69,88,75,66
70,65,100,70,75
68,77,72,64,65
62,80,91,76,79
72,52,100,76,82
75,82,92,69,71
83,70,91,74,74
80,68,75,82,72
68,68,80,62,83
82,68,100,56,64
74,68,92,54,83
72,62,76,75,77
