Math,Programming,Physics_BE,Engineering_Drawing,English
65,67,74,70,72
59,71,79,89,68
75,64,70,96,75
55,66,65,73,91
67,69,77,81,83
67,54,66,84,68
72,79,81,82,74
57,75,70,79,79
71,54,64,100,75
59,59,64,74,81
54,79,76,85,79
82,77,69,77,85
66,70,75,71,63
64,55,76,72,68
66,68,69,85,75
64,86,88,72,72
65,67,85,75,66
79,70,56,67,68
55,76,71,69,62
77,74,63,79,78
74,64,66,76,75
67,66,79,81,57
76,58,84,84,79
70,58,60,94,87
68,68,68,74,67
60,67,84,78,74
59,77,71,71,76
57,61,76,84,81
73,53,80,86,72
68,63,63,83,71
68,54,75,75,64
76,73,74,85,73
76,69,90,87,65
81,64,76,79,76
61,73,77,66,66
72,62,69,72,80
75,62,52,76,72
70,76,81,62,63
68,80,60,92,73
68,65,58,60,69
80,72,76,81,68
59,62,74,68,61
51,52,71,81,63
82,58,78,77,60
68,76,74,65,74
69,68,76,67,78
75,65,59,77,77
66,57,68,79,79
78,79,65,70,72
65,68,70,77,65
75,77,66,86,63
65,77,53,84,69
65,64,65,88,72
69,76,71,63,72
82,64,77,64,68
73,69,92,83,64
58,57,73,77,66
75,62,79,77,71
66,50,68,76,72
66,77,88,83,74
76,71,71,73,68
76,68,92,75,71
69,69,64,62,64
77,61,66,80,76
67,63,88,74,62
74,73,64,70,73
70,74,64,79,82
77,76,77,90,66
76,69,61,86,77
69,67,90,65,81
70,61,58,82,70
74,65,73,84,73
75,75,70,82,62
67,75,63,61,83
69,60,63,77,72
66,58,80,73,72
65,77,54,80,67
72,76,71,79,68
75,77,71,68,61
61,66,78,81,72
55,61,81,76,83
87,69,60,71,69
71,58,77,81,82
69,61,77,61,67
68,76,66,78,65
69,77,62,75,61
77,66,59,76,78
75,66,70,77,63
61,69,75,70,71
65,69,81,80,56
73,65,72,83,63
64,64,77,80,75
74,71,63,88,79
71,72,60,78,71
73,62,64,72,55
83,68,84,67,70
72,61,70,83,56
66,78,81,98,76
69,67,73,87,82
63,65,94,89,61
